F-volt,V-volt,P-volt,Object,Object type
0,0.425219941,3.954056696,EH,W
0,0.449657869,3.944281525,EH,W
0,0.493646139,3.929618768,EH,W
4.159335288,3.890518084,4.183773216,EH,W
4.467253177,4.467253177,4.217986315,EH,W
4.477028348,4.569892473,4.217986315,EH,W
4.491691105,4.599217986,4.217986315,EH,W
4.491691105,4.579667644,4.217986315,EH,W
4.49657869,4.594330401,4.217986315,EH,W
0,0.542521994,3.944281525,EH,W
0,0.557184751,3.978494624,EH,W
0,0.576735093,3.99315738,EH,W
0,0.635386119,3.954056696,EH,W
4.291300098,3.998044966,4.17888563,EH,W
0,0.703812317,3.919843597,EH,W
0,0.591397849,3.968719453,EH,W
4.413489736,4.188660802,4.198435973,EH,W
0,0.640273705,3.944281525,EH,W
0,0.650048876,3.924731183,EH,W
0,0.659824047,3.958944282,EH,W
0,0.855327468,3.968719453,EH,W
0,0.684261975,3.929618768,EH,W
4.501466276,4.550342131,4.203323558,EH,W
4.516129032,4.731182796,4.217986315,EH,W
4.525904203,4.745845552,4.227761486,EH,W
4.525904203,4.760508309,4.217986315,EH,W
4.530791789,4.736070381,4.232649071,EH,W
0,0.679374389,4.002932551,EH,W
0,0.684261975,3.998044966,EH,W
4.525904203,4.667644184,4.237536657,EH,W
4.535679374,4.85826002,4.247311828,EH,W
4.54056696,4.838709677,4.247311828,EH,W
4.545454545,4.838709677,4.247311828,EH,W
4.545454545,4.794721408,4.252199413,EH,W
0,0.650048876,3.988269795,EH,W
0,0.625610948,4.027370479,EH,W
0,0.650048876,4.012707722,EH,W
0,0.659824047,4.012707722,EH,W
4.408602151,4.54056696,4.242424242,EH,W
4.535679374,5,4.286412512,EH,W
0,0.728250244,4.012707722,EH,W
0,0.610948192,4.017595308,EH,W
0,0.654936461,4.022482893,EH,W
0,0.659824047,4.046920821,EH,W
0,0.674486804,4.03714565,EH,W
4.511241447,5,4.315738025,EH,W
0,0.596285435,4.046920821,EH,W
0,0.606060606,4.105571848,EH,W
4.467253177,4.677419355,4.305962854,EH,W
4.359726295,4.731182796,4.296187683,EH,W
0,0.337243402,4.046920821,EH,W
3.362658847,1.373411535,4.012707722,EH,W
0,0.327468231,3.963831867,EH,W
0,0.757575758,3.958944282,EH,W
0,2.179863148,4.090909091,EH,W
0,0.474095797,4.027370479,EH,W
4.58455523,4.565004888,4.26686217,EH,W
0,0.430107527,4.032258065,EH,W
0,2.751710655,4.183773216,EH,W
4.608993157,4.77028348,4.281524927,EH,W
0,0.454545455,4.007820137,EH,W
0,0.327468231,4.032258065,EH,W
4.54056696,4.550342131,4.276637341,EH,W
0,0.210166178,4.03714565,EH,W
0,0.171065494,3.998044966,EH,W
4.491691105,4.169110459,4.208211144,EH,W
0,0.410557185,3.978494624,EH,W
0,0.171065494,3.924731183,EH,W
0,4.662756598,2.302052786,S,SR
0,4.599217986,2.2971652,S,SR
0,4.535679374,2.321603128,S,SR
0,4.472140762,2.316715543,S,SR
0,4.413489736,2.326490714,S,SR
4.863147605,5,4.990224829,S,SR
4.868035191,5,4.985337243,S,SR
4.868035191,5,4.985337243,S,SR
4.868035191,5,4.985337243,S,SR
4.872922776,5,4.985337243,S,SR
4.872922776,5,4.985337243,S,SR
0,2.179863148,4.667644184,S,SR
0,1.915933529,4.701857283,S,SR
0,1.759530792,4.68230694,S,SR
0,1.754643206,4.68230694,S,SR
0,1.520039101,4.721407625,S,SR
4.819159335,5,4.965786901,S,SR
4.868035191,4.975562072,4.975562072,S,SR
4.868035191,4.819159335,4.985337243,S,SR
4.868035191,4.789833822,4.985337243,S,SR
4.872922776,4.780058651,4.985337243,S,SR
4.872922776,4.789833822,4.985337243,S,SR
4.872922776,4.794721408,4.985337243,S,SR
4.872922776,4.81427175,4.980449658,S,SR
4.872922776,4.828934506,4.985337243,S,SR
0,2.913000978,4.755620723,S,SR
0,2.287390029,4.706744868,S,SR
0,2.126099707,4.706744868,S,SR
0,2.008797654,4.731182796,S,SR
4.872922776,5,4.980449658,S,SR
4.872922776,4.907135875,4.985337243,S,SR
4.872922776,4.824046921,4.980449658,S,SR
4.877810362,4.819159335,4.985337243,S,SR
0,2.693059629,4.731182796,S,SR
0,2.282502444,4.721407625,S,SR
0,2.170087977,4.721407625,S,SR
4.868035191,5,4.985337243,S,SR
4.877810362,5,4.980449658,S,SR
4.877810362,4.931573803,4.985337243,S,SR
0,2.746823069,4.755620723,S,SR
0,2.326490714,4.731182796,S,SR
0,2.24340176,4.716520039,S,SR
0,2.209188661,4.701857283,S,SR
0,2.165200391,4.716520039,S,SR
4.882697947,5,4.980449658,S,SR
4.877810362,4.975562072,4.980449658,S,SR
4.877810362,4.951124145,4.985337243,S,SR
0,2.88856305,4.750733138,S,SR
0,2.644183773,4.701857283,S,SR
4.868035191,5,4.975562072,S,SR
4.882697947,4.990224829,4.980449658,S,SR
4.882697947,4.970674487,4.985337243,S,SR
0,2.834799609,4.72629521,S,SR
0,2.399804497,4.72629521,S,SR
0,4.03714565,3.782991202,S,SR
4.877810362,5,4.990224829,S,SR
4.887585533,5,4.985337243,S,SR
4.882697947,5,4.985337243,S,SR
1.075268817,3.059628543,4.736070381,S,SR
0,2.65884653,4.711632454,S,SR
0,2.507331378,4.750733138,S,SR
4.877810362,5,4.985337243,S,SR
4.877810362,5,4.985337243,S,SR
4.882697947,5,4.985337243,S,SR
4.882697947,5,4.980449658,S,SR
4.882697947,5,4.980449658,S,SR
0,2.38514174,4.750733138,S,SR
0,2.145650049,4.692082111,S,SR
4.877810362,5,4.985337243,S,SR
4.882697947,4.975562072,4.985337243,S,SR
4.882697947,4.960899316,4.980449658,S,SR
4.887585533,5,4.980449658,S,SR
0,2.316715543,4.68230694,S,SR
0,2.135874878,4.72629521,S,SR
0,2.082111437,4.701857283,S,SR
4.887585533,5,4.980449658,S,SR
4.882697947,5,4.985337243,S,SR
4.882697947,5,4.980449658,S,SR
0,3.132942326,4.755620723,S,SR
4.701857283,5,4.457478006,S,SR
4.877810362,5,4.985337243,S,SR
4.882697947,5,4.980449658,S,SR
4.887585533,5,4.985337243,S,SR
4.887585533,5,4.985337243,S,SR
4.882697947,5,4.985337243,S,SR
0,1.270772239,4.672531769,S,SR
0,1.295210166,4.643206256,S,SR
0,1.158357771,4.662756598,S,SR
4.882697947,5,4.985337243,S,SR
4.887585533,5,4.985337243,S,SR
4.882697947,5,4.985337243,S,SR
4.882697947,5,4.985337243,S,SR
4.887585533,5,4.985337243,S,SR
4.887585533,5,4.980449658,S,SR
4.882697947,5,4.980449658,S,SR
4.887585533,5,4.985337243,S,SR
4.887585533,5,4.985337243,S,SR
4.882697947,5,4.985337243,S,SR
0.122189638,2.306940371,4.701857283,S,SR
0,2.292277615,4.68230694,S,SR
0,2.077223851,4.706744868,S,SR
0,3.748778104,4.227761486,S,SR
4.887585533,5,4.980449658,S,SR
4.882697947,4.985337243,4.990224829,S,SR
4.887585533,4.946236559,4.985337243,S,SR
4.882697947,4.975562072,4.985337243,S,SR
0,2.24340176,4.731182796,S,SR
0,2.355816227,4.687194526,S,SR
0,2.145650049,4.72629521,S,SR
0,2.11143695,4.68230694,S,SR
4.887585533,5,4.985337243,S,SR
4.887585533,5,4.985337243,S,SR
4.887585533,4.975562072,4.985337243,S,SR
4.887585533,4.985337243,4.980449658,S,SR
4.887585533,5,4.980449658,S,SR
0,2.282502444,4.68230694,S,SR
0,2.116324536,4.701857283,S,SR
0,2.130987292,4.731182796,S,SR
4.442815249,5,4.428152493,S,SR
4.887585533,5,4.990224829,S,SR
4.887585533,4.995112414,4.985337243,S,SR
4.887585533,4.980449658,4.985337243,S,SR
4.887585533,5,4.985337243,S,SR
0.024437928,2.590420332,4.740957967,S,SR
0,2.551319648,4.745845552,S,SR
0,2.492668622,4.696969697,S,SR
0,2.47311828,4.692082111,S,SR
0,2.419354839,4.731182796,S,SR
4.877810362,5,4.990224829,S,SR
4.887585533,5,4.985337243,S,SR
4.887585533,4.965786901,4.985337243,S,SR
4.887585533,4.936461388,4.985337243,S,SR
0,2.375366569,4.692082111,S,SR
0,2.292277615,4.721407625,S,SR
0,2.404692082,4.696969697,S,SR
0,2.267839687,4.706744868,S,SR
4.882697947,5,4.985337243,S,SR
4.887585533,5,4.985337243,S,SR
4.887585533,4.951124145,4.985337243,S,SR
4.892473118,4.946236559,4.990224829,S,SR
0,2.981427175,4.716520039,S,SR
0,2.761485826,4.750733138,S,SR
0,2.859237537,4.745845552,S,SR
0,2.790811339,4.701857283,S,SR
4.853372434,5,4.970674487,S,SR
4.887585533,5,4.985337243,S,SR
4.887585533,4.995112414,4.985337243,S,SR
4.887585533,5,4.985337243,S,SR
4.882697947,5,4.980449658,S,SR
0,2.38514174,4.716520039,S,SR
0,2.189638319,4.706744868,S,SR
0,2.350928641,4.68230694,S,SR
0,2.262952102,4.692082111,S,SR
4.887585533,5,4.985337243,S,SR
4.892473118,5,4.985337243,S,SR
4.887585533,4.960899316,4.985337243,S,SR
4.882697947,4.946236559,4.980449658,S,SR
0,2.600195503,4.687194526,S,SR
0,2.438905181,4.706744868,S,SR
0,2.556207234,4.731182796,S,SR
0,2.492668622,4.740957967,S,SR
4.882697947,5,4.985337243,S,SR
4.892473118,5,4.985337243,S,SR
4.887585533,4.995112414,4.990224829,S,SR
4.892473118,4.990224829,4.990224829,S,SR
4.892473118,4.990224829,4.980449658,S,SR
4.892473118,5,4.985337243,S,SR
4.892473118,5,4.985337243,S,SR
4.892473118,5,4.985337243,S,SR
4.892473118,5,4.985337243,S,SR
4.892473118,5,4.985337243,S,SR
4.887585533,5,4.980449658,S,SR
4.892473118,5,4.985337243,S,SR
0.18572825,3.128054741,4.755620723,S,SR
0,2.996089932,4.784946237,S,SR
0,2.75659824,4.745845552,S,SR
0,2.624633431,4.716520039,S,SR
4.848484848,5,4.965786901,S,SR
4.887585533,5,4.990224829,S,SR
4.892473118,4.985337243,4.985337243,S,SR
4.887585533,4.936461388,4.985337243,S,SR
4.77028348,0.41544477,4.780058651,S,SR
0,3.768328446,4.760508309,S,SR
0,3.514173998,4.745845552,S,SR
0,3.440860215,4.750733138,S,SR
4.892473118,5,4.985337243,S,SR
4.892473118,5,4.980449658,S,SR
4.887585533,4.995112414,4.990224829,S,SR
4.892473118,5,4.985337243,S,SR
1.246334311,4.022482893,4.780058651,S,SR
0,3.880742913,4.794721408,S,SR
0,3.626588465,4.799608993,S,SR
4.882697947,5,4.985337243,S,SR
4.887585533,5,4.995112414,S,SR
4.887585533,5,4.985337243,S,SR
0,2.434017595,4.706744868,S,SR
0,2.468230694,4.696969697,S,SR
0,2.336265885,4.692082111,S,SR
0,2.497556207,4.701857283,S,SR
4.882697947,5,4.980449658,S,SR
4.887585533,4.652981427,4.985337243,H,PLA
0.161290323,2.350928641,4.696969697,H,PLA
0,3.704789834,4.789833822,H,PLA
0,2.629521017,4.736070381,H,PLA
0,2.209188661,4.692082111,H,PLA
0,2.013685239,4.72629521,H,PLA
0,1.945259042,4.68230694,H,PLA
0,2.106549365,4.731182796,H,PLA
0,1.83773216,4.711632454,H,PLA
0,1.803519062,4.711632454,H,PLA
0,1.774193548,4.643206256,H,PLA
4.076246334,4.892473118,4.139784946,H,PLA
4.110459433,4.980449658,4.130009775,H,PLA
4.120234604,5,4.134897361,H,PLA
4.130009775,5,4.134897361,H,PLA
4.144672532,5,4.144672532,H,PLA
4.159335288,5,4.134897361,H,PLA
0,1.754643206,3.885630499,H,PLA
0,1.476050831,3.910068426,H,PLA
0,1.300097752,3.866080156,H,PLA
4.208211144,4.071358749,4.164222874,H,PLA
