F-volt,V-volt,P-volt,Object,Object Name
3.782991202,3.968719453,4.990224829,S,SR
4.85826002,5,4.990224829,S,SR
4.853372434,5,4.990224829,S,SR
4.843597263,5,4.990224829,S,SR
4.853372434,5,4.985337243,S,SR
0,5,1.260997067,S,SR
4.853372434,5,4.990224829,S,SR
4.85826002,5,4.990224829,S,SR
4.853372434,4.965786901,4.985337243,S,SR
4.85826002,4.897360704,4.990224829,S,SR
0,5,2.013685239,S,SR
4.853372434,5,4.985337243,S,SR
4.85826002,5,4.985337243,S,SR
4.853372434,4.936461388,4.990224829,S,SR
4.85826002,4.843597263,4.990224829,S,SR
4.85826002,4.809384164,4.985337243,S,SR
4.853372434,4.799608993,4.985337243,S,SR
4.853372434,4.780058651,4.985337243,S,SR
4.848484848,4.775171065,4.985337243,S,SR
4.853372434,4.740957967,4.990224829,S,SR
0,5,1.37829912,S,SR
4.85826002,5,4.990224829,S,SR
4.85826002,5,4.990224829,S,SR
0,5,2.11143695,S,SR
0,5,3.216031281,S,SR
4.848484848,5,4.990224829,S,SR
4.853372434,5,4.985337243,S,SR
4.853372434,4.951124145,4.990224829,S,SR
4.85826002,4.887585533,4.985337243,S,SR
0,5,1.793743891,S,SR
0,5,2.854349951,S,SR
0,4.985337243,3.484848485,S,SR
0,4.853372434,3.797653959,S,SR
0,4.804496579,3.880742913,S,SR
0,4.721407625,3.802541544,S,SR
0,4.696969697,3.861192571,S,SR
0,4.657869013,4.051808407,S,SR
4.848484848,5,4.990224829,S,SR
4.853372434,5,4.990224829,S,SR
0,5,1.1485826,S,SR
0,5,2.717497556,S,SR
0,4.995112414,3.191593353,S,SR
4.848484848,5,4.985337243,S,SR
4.853372434,5,4.990224829,S,SR
0,5,2.184750733,S,SR
0,5,4.711632454,S,SR
4.848484848,5,4.985337243,S,SR
4.853372434,5,4.985337243,S,SR
4.848484848,4.477028348,0.395894428,S,SR
3.504398827,3.958944282,4.980449658,S,SR
4.853372434,5,4.985337243,S,SR
4.85826002,4.995112414,4.985337243,S,SR
4.848484848,4.892473118,4.990224829,S,SR
4.848484848,4.843597263,4.985337243,S,SR
4.848484848,4.775171065,4.985337243,S,SR
0.102639296,5,1.153470186,S,SR
0,5,2.785923754,S,SR
0,5,3.352883675,S,SR
3.680351906,4.105571848,4.985337243,S,SR
4.853372434,5,4.990224829,S,SR
0,5,2.204301075,S,SR
4.853372434,5,4.990224829,S,SR
4.853372434,5,4.985337243,S,SR
4.838709677,5,4.985337243,S,SR
0.004887586,5,2.038123167,S,SR
4.838709677,5,4.990224829,S,SR
0,5,1.505376344,S,SR
4.853372434,5,4.990224829,S,SR
4.853372434,4.887585533,4.985337243,S,SR
4.853372434,4.77028348,4.990224829,S,SR
4.848484848,4.736070381,4.990224829,S,SR
0,5,1.617790811,S,SR
0,5,3.005865103,S,SR
4.77028348,5,4.990224829,S,SR
4.85826002,4.995112414,4.985337243,S,SR
0,5,1.798631476,S,SR
0,5,4.721407625,S,SR
0,5,1.065493646,S,SR
0,5,2.634408602,S,SR
0,3.866080156,1.681329423,H,W
0.004887586,3.822091887,2.047898338,H,W
0,3.768328446,2.179863148,H,W
4.643206256,4.868035191,4.985337243,H,W
4.643206256,4.560117302,4.985337243,H,W
0.004887586,1.094819159,4.731182796,H,W
0.009775171,1.143695015,4.643206256,H,W
4.638318671,4.296187683,4.985337243,H,W
4.662756598,3.841642229,4.985337243,H,W
4.662756598,2.590420332,4.980449658,H,W
0,0.180840665,4.574780059,H,W
0.004887586,0.171065494,4.242424242,H,W
4.677419355,4.81427175,4.990224829,H,W
4.68230694,4.535679374,4.990224829,H,W
4.68230694,4.389051808,4.995112414,H,W
4.68230694,2.478005865,4.975562072,H,W
0.009775171,0.175953079,4.428152493,H,W
0.009775171,0.161290323,4.286412512,H,W
0.004887586,0.156402737,3.890518084,H,W
0,0.244379277,3.484848485,H,W
4.677419355,4.951124145,4.995112414,H,W
4.68230694,4.530791789,4.995112414,H,W
0.004887586,0.083088954,4.491691105,H,W
0.004887586,0,4.398826979,H,W
0.004887586,0,4.051808407,H,W
4.687194526,4.784946237,4.990224829,H,W
4.291300098,0.361681329,4.750733138,H,W
0,0,4.643206256,H,W
4.677419355,5,4.995112414,H,W
4.692082111,4.687194526,4.995112414,H,W
4.692082111,4.467253177,4.990224829,H,W
0.004887586,0.171065494,4.442815249,H,W
4.692082111,5,4.995112414,H,W
0.004887586,0.22971652,4.613880743,H,W
0.004887586,0.029325513,4.477028348,H,W
0,0.009775171,4.198435973,H,W
4.696969697,5,4.995112414,H,W
4.696969697,4.560117302,4.990224829,H,W
4.701857283,4.291300098,4.995112414,H,W
4.701857283,4.110459433,4.990224829,H,W
0,0.063538612,4.623655914,H,W
0,0.009775171,4.330400782,H,W
4.677419355,5,4.985337243,H,W
4.696969697,4.740957967,4.990224829,H,W
4.696969697,4.467253177,4.995112414,H,W
4.701857283,4.330400782,4.985337243,H,W
0.004887586,0.097751711,4.657869013,H,W
0.004887586,0.073313783,4.462365591,H,W
0.004887586,0.131964809,4.120234604,H,W
0.009775171,0.107526882,3.651026393,H,W
0.009775171,0.151515152,3.289345064,H,W
0.004887586,0.27370479,3.093841642,H,W
0.009775171,0.08797654,2.785923754,H,W
0.004887586,0.156402737,2.346041056,H,W
0.009775171,0.224828935,2.316715543,H,W
4.58455523,3.690127077,4.980449658,H,W
4.68230694,4.794721408,4.990224829,H,W
4.68230694,4.579667644,4.995112414,H,W
4.687194526,4.467253177,4.990224829,H,W
0.014662757,0.391006843,4.472140762,H,W
0.014662757,0.395894428,4.291300098,H,W
0.014662757,0.342130987,3.914956012,H,W
0.014662757,0.3714565,3.43597263,H,W
0.009775171,0.361681329,3.088954057,H,W
0.014662757,0.405669599,2.820136852,H,W
4.68230694,4.706744868,4.990224829,H,W
4.687194526,4.49657869,4.985337243,H,W
4.687194526,4.398826979,4.985337243,H,W
4.692082111,4.330400782,4.985337243,H,W
4.692082111,4.247311828,4.985337243,H,W
0.288367546,0.454545455,4.579667644,H,W
0.014662757,0.278592375,4.462365591,H,W
4.486803519,3.318670577,4.975562072,H,W
4.692082111,4.902248289,4.990224829,H,W
4.696969697,4.491691105,4.990224829,H,W
0.014662757,0.298142717,4.467253177,H,W
4.6285435,3.626588465,4.985337243,H,W
4.692082111,4.828934506,4.990224829,H,W
4.696969697,4.618768328,4.990224829,H,W
4.696969697,4.301075269,4.990224829,H,W
0.014662757,0.210166178,4.652981427,H,W
0.014662757,0.210166178,4.384164223,H,W
0.004887586,0.190615836,3.861192571,H,W
4.696969697,5,4.985337243,H,W
4.701857283,4.760508309,4.990224829,H,W
0.014662757,0.263929619,4.49657869,H,W
0.009775171,0.171065494,4.560117302,H,W
0.014662757,0.131964809,4.17888563,H,W
0.014662757,0.063538612,3.631476051,H,W
0.004887586,0.112414467,3.39198436,H,W
0.014662757,0.161290323,3.035190616,H,W
4.701857283,4.809384164,4.990224829,H,W
4.701857283,4.565004888,4.990224829,H,W
4.706744868,4.408602151,4.990224829,H,W
4.701857283,4.296187683,4.990224829,H,W
0.004887586,0.190615836,4.271749756,H,W
0.004887586,0.146627566,4.164222874,H,W
4.706744868,5,4.995112414,H,W
4.701857283,4.692082111,4.990224829,H,W
4.706744868,4.511241447,4.990224829,H,W
4.706744868,4.403714565,4.990224829,H,W
0.004887586,0.298142717,4.68230694,H,W
0.009775171,0.166177908,4.467253177,H,W
0.004887586,0.092864125,4.286412512,H,W
0.009775171,0.14173998,3.758553275,H,W
0.009775171,0.127077224,3.48973607,H,W
0.004887586,0.151515152,3.03030303,H,W
0.009775171,0.131964809,2.737047898,H,W
0.009775171,0.161290323,2.7028348,H,W
4.706744868,4.902248289,4.990224829,H,W
4.711632454,4.516129032,4.995112414,H,W
4.701857283,4.398826979,4.985337243,H,W
